1,1,85,1879
2,1,64,1912
3,2,79,1908
4,2,68,1920
5,2,67,1906
6,1,62,1913
7,1,76,1912
8,1,60,1916
9,1,76,1884
10,2,68,1917
11,1,82,1881
12,2,84,1890
13,2,49,1881
14,1,65,1920
15,2,5,NaN
16,1,36,1933
17,1,76,1910
18,2,77,1900
19,2,86,NaN
20,1,67,1918
21,1,76,1911
22,1,94,1889
23,1,48,1923
24,1,87,1898
25,1,16,NaN
26,1,46,1941
27,1,65,1905
28,2,0,NaN
29,1,96,1890
30,2,66,1919
31,1,60,1903
32,2,44,1944
33,2,72,1912
34,2,81,1905
35,1,0,NaN
36,2,63,1920
37,2,44,1921
38,1,43,1932
39,1,0,NaN
40,2,71,1914
41,2,27,1948
42,2,50,1934
43,1,55,1928
44,1,64,1913
45,1,57,1914
46,1,60,1921
47,2,46,1927
48,1,50,1916
49,1,56,1930
50,1,51,1936
51,1,49,1933
52,2,82,1902
53,2,63,1913
54,1,77,1907
55,1,58,1920
56,1,39,1948
57,2,0,NaN
58,2,0,NaN
59,2,0,NaN
60,2,45,1935
61,2,54,1927
62,1,41,1945
63,1,79,1905
64,1,65,1915
65,2,52,NaN
66,1,29,1940
67,1,56,1918
68,1,26,1949
69,1,80,1905
70,1,48,1924
71,1,0,NaN
72,1,27,1933
73,1,62,1926
74,1,26,1965
75,2,81,1907
76,2,14,NaN
77,2,54,1930
78,1,43,1952
79,2,51,1937
80,2,57,1936
81,1,87,1903
82,2,48,1932
83,1,81,1907
84,2,65,1919
85,2,58,1911
86,2,61,1922
87,1,36,1944
88,2,35,1949
89,2,81,1909
90,2,72,1920
91,2,51,1938
92,2,54,1909
93,2,47,1940
94,1,6,NaN
95,2,37,1951
96,2,33,1954
97,2,46,1929
98,2,82,1893
99,2,70,1903
100,1,64,1924
101,2,2,NaN
102,2,58,1919
103,1,24,1962
104,2,57,1931
105,1,78,1910
106,1,46,1934
107,1,68,1928
108,1,28,1955
109,1,68,1904
110,1,58,1914
111,1,44,1938
112,2,56,1924
113,1,67,1926
114,2,80,1908
115,0,0,NaN
116,2,3,NaN
117,2,96,1880
118,2,45,1934
119,2,85,1911
120,1,72,1918
121,2,27,1962
122,2,78,1905
123,2,71,1912
124,1,61,1915
125,1,50,1934
126,1,74,1911
127,1,29,1963
128,2,77,1899
129,1,65,1929
130,2,69,1924
131,2,46,1938
132,2,74,1912
133,1,58,1916
134,1,84,1902
135,1,34,1955
136,2,62,1917
137,2,41,1931
138,2,52,1928
139,1,44,1939
140,1,46,1949
141,1,48,1936
142,1,75,1901
143,2,79,1910
144,2,60,1917
145,1,80,1905
146,1,55,1921
147,1,84,1904
148,1,71,1906
149,1,66,1906
150,2,82,1918
151,2,63,1922
152,1,81,1889
153,2,81,1890
154,1,54,1928
155,1,74,1894
156,1,59,1909
157,1,64,1919
158,1,78,1908
159,2,79,1908
160,1,61,1921
161,1,16,NaN
162,2,69,1917
163,1,78,1909
164,0,0,NaN
165,1,86,1901
166,2,49,1940
167,2,99,1886
168,1,66,1910
169,2,84,1904
170,2,73,1908
171,1,85,1905
172,1,88,1897
173,1,58,1918
174,2,79,1909
175,1,89,1881
176,2,81,1908
177,1,65,1923
178,1,73,1904
179,2,87,1895
180,2,81,1908
181,1,94,1889
182,1,55,1930
183,2,59,1930
184,2,72,1910
185,2,72,1914
186,1,26,NaN
187,2,9,NaN
188,2,38,NaN
189,2,6,NaN
190,2,20,NaN
191,1,32,NaN
192,1,27,1946
193,1,25,1962
194,2,35,1955
195,2,0,NaN
196,2,50,1915
197,1,36,1944
198,2,45,NaN
199,1,26,1942
200,1,43,NaN
201,1,16,NaN
202,2,25,1956
203,2,24,1964
204,1,19,1952
205,2,47,1928
206,2,3,NaN
207,1,37,1945
208,2,47,1930
209,1,44,1927
210,1,43,1948
211,1,28,1943
212,2,6,NaN
213,1,32,1937
214,1,33,1936
215,2,32,1956
216,2,24,1956
217,2,22,1954
218,1,29,1962
219,1,16,NaN
220,2,35,1932
221,1,25,1947
222,2,1,NaN
223,2,38,NaN
224,1,46,1932
225,2,0,NaN
226,2,68,NaN
227,2,68,NaN
228,1,64,NaN
229,0,14,NaN
230,0,14,NaN
231,1,33,NaN
232,2,33,NaN
233,2,85,NaN
234,2,50,NaN
235,1,43,NaN
236,1,59,NaN
237,1,48,NaN
238,2,79,NaN
239,1,37,NaN
240,2,58,NaN
241,1,75,NaN
242,1,96,NaN
243,1,82,NaN
244,2,79,NaN
245,1,20,NaN
246,1,30,NaN
247,1,68,NaN
248,1,18,NaN
249,2,6,NaN
250,1,38,NaN
